"Season","Name","Team","G","PA","HR","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","Age","BB","SO","playerid"
"1987","Ivan Calderon","White Sox","144","607","28","93","10","9.9 %","18.0 %",".232",".320",".293",".362",".526",".379","131","4.0","25","60","109","1001825"
"1996","Dante Bichette","Rockies","159","694","31","114","31","6.5 %","15.1 %",".218",".329",".313",".359",".531",".379","108","0.9","32","45","105","1000946"
"1973","Thurman Munson","Yankees","147","576","20","80","4","8.3 %","11.1 %",".187",".310",".301",".362",".487",".379","141","6.6","26","48","64","1009334"
"1976","Fred Lynn","Red Sox","132","566","10","76","14","8.5 %","11.8 %",".154",".339",".314",".367",".467",".379","135","3.9","24","48","67","1007872"
"2004","Alex Rodriguez","Yankees","155","698","36","112","28","11.5 %","18.8 %",".226",".308",".286",".375",".512",".379","131","6.6","28","80","131","1274"
"1969","Lee May","Reds","158","665","38","85","5","6.8 %","21.4 %",".250",".302",".278",".331",".529",".379","130","4.0","26","45","142","1008303"
"1993","Jeff Blauser","Braves","161","710","15","110","16","12.0 %","15.4 %",".131",".348",".305",".401",".436",".379","128","5.4","27","85","109","1001062"
"1971","Bill Melton","White Sox","150","621","33","72","3","9.8 %","14.0 %",".223",".264",".269",".352",".492",".379","134","5.8","25","61","87","1008754"
"2013","Adrian Beltre","Rangers","161","690","30","88","1","7.2 %","11.3 %",".193",".322",".315",".371",".509",".379","135","4.9","34","50","78","639"
"1987","Alvin Davis","Mariners","157","662","29","86","0","10.9 %","12.7 %",".221",".299",".295",".370",".516",".379","128","2.9","26","72","84","1003033"
"1999","Mike Stanley","Red Sox","136","512","19","59","0","13.7 %","18.4 %",".185",".318",".281",".393",".466",".378","121","2.2","36","70","94","1012416"
"1980","Steve Kemp","Tigers","135","591","21","88","5","11.7 %","10.8 %",".181",".296",".293",".376",".474",".378","131","3.7","25","69","64","1006827"
"2007","Alfonso Soriano","Cubs","135","617","33","97","19","5.0 %","21.1 %",".261",".334",".299",".337",".560",".378","122","6.7","31","31","130","847"
"2010","Kelly Johnson","Diamondbacks","154","671","26","93","13","11.8 %","22.1 %",".212",".339",".284",".370",".496",".378","129","5.4","28","79","148","2234"
"1982","Cecil Cooper","Brewers","155","696","32","104","2","4.6 %","7.6 %",".214",".301",".313",".342",".528",".378","140","5.1","32","32","53","1002592"
"2005","Jhonny Peralta","Indians","141","570","24","82","0","10.2 %","22.5 %",".228",".346",".292",".366",".520",".378","136","4.3","23","58","128","1738"
"2012","Matt Holliday","Cardinals","157","688","27","95","4","10.9 %","19.2 %",".202",".337",".295",".379",".497",".378","140","4.7","32","75","132","1873"
"1982","Lance Parrish","Tigers","133","529","32","75","3","7.6 %","18.7 %",".245",".297",".284",".338",".529",".378","135","5.2","26","40","99","1010021"
"2000","Shannon Stewart","Blue Jays","136","631","21","107","20","5.9 %","12.5 %",".199",".339",".319",".363",".518",".378","119","4.9","26","37","79","1322"
"1996","Ryan Klesko","Braves","153","605","34","90","6","11.2 %","21.3 %",".248",".312",".282",".364",".530",".378","130","3.8","25","68","129","1041"
"1993","Charlie Hayes","Rockies","157","630","25","89","11","6.8 %","13.0 %",".216",".316",".305",".355",".522",".378","117","3.9","28","43","82","1005525"
"1976","Bob Watson","Astros","157","662","16","76","3","9.4 %","9.7 %",".145",".325",".313",".377",".458",".378","141","3.1","30","62","64","1013677"
"1978","Rod Carew","Twins","152","651","5","85","27","12.0 %","9.5 %",".108",".364",".333",".411",".441",".378","135","4.4","32","78","62","1001942"
"1979","Lee Mazzilli","Mets","158","693","15","78","34","13.4 %","10.7 %",".146",".325",".303",".395",".449",".378","137","4.7","24","93","74","1008318"
"1979","Cecil Cooper","Brewers","150","660","24","83","15","8.5 %","11.7 %",".200",".318",".308",".364",".508",".378","132","3.8","29","56","77","1002592"
"2009","Raul Ibanez","Phillies","134","565","34","93","4","9.9 %","21.1 %",".280",".290",".272",".347",".552",".378","130","3.4","37","56","119","607"
"1996","Todd Hundley","Mets","153","624","41","85","1","12.7 %","23.4 %",".291",".279",".259",".356",".550",".378","134","4.7","27","79","146","284"
"2007","Corey Hart","Brewers","140","566","24","86","23","6.4 %","17.5 %",".244",".321",".295",".353",".539",".378","127","4.2","25","36","99","1945"
"2010","Ryan Braun","Brewers","157","685","25","101","14","8.2 %","15.3 %",".197",".331",".304",".365",".501",".378","134","3.8","26","56","105","3410"
"1995","Will Clark","Rangers","123","537","16","85","0","12.7 %","9.3 %",".178",".303",".302",".389",".480",".378","121","2.6","31","68","50","1002318"
"1970","Pete Rose","Reds","159","728","15","120","12","10.0 %","8.8 %",".154",".331",".316",".385",".470",".378","131","5.0","29","73","64","1011217"
"1997","David Segui","Expos","125","523","21","75","1","10.9 %","12.6 %",".198",".317",".307",".380",".505",".378","127","2.3","30","57","66","169"
"1989","Ryne Sandberg","Cubs","157","672","30","104","15","8.8 %","12.6 %",".206",".296",".290",".356",".497",".378","139","5.7","29","59","85","1011411"
"1983","Rickey Henderson","Athletics","145","622","9","105","108","16.6 %","12.9 %",".129",".332",".292",".414",".421",".378","139","7.0","24","103","80","194"
"2017","Justin Upton","- - -","152","635","35","100","14","11.7 %","28.3 %",".268",".341",".273",".361",".540",".378","137","5.2","29","74","180","5222"
"2004","Paul Konerko","White Sox","155","643","41","84","1","10.7 %","16.6 %",".258",".274",".277",".359",".535",".378","127","1.7","28","69","107","242"
"1985","Darrell Evans","Tigers","151","594","40","81","0","14.3 %","14.3 %",".271",".223",".248",".356",".519",".378","137","4.2","38","85","85","1003864"
"1992","Dave Hollins","Phillies","156","685","27","104","9","11.1 %","16.1 %",".200",".289",".270",".369",".469",".378","142","5.7","26","76","110","1391"
"2001","Troy Glaus","Angels","161","708","41","100","10","15.1 %","22.3 %",".281",".268",".250",".367",".531",".378","133","5.3","24","107","158","15"
"1993","Dante Bichette","Rockies","141","581","21","93","14","4.8 %","17.0 %",".216",".343",".310",".348",".526",".378","117","2.8","29","28","99","1000946"
"1993","Matt Williams","Giants","145","619","38","105","1","4.4 %","12.9 %",".268",".281",".294",".325",".561",".378","135","5.9","27","27","80","77"
"2000","Jeff Cirillo","Rockies","157","684","11","111","3","9.8 %","10.5 %",".151",".349",".326",".392",".477",".378","99","3.0","30","67","72","1073"
"1987","Darrell Evans","Tigers","150","609","34","90","6","16.4 %","13.8 %",".244",".243",".257",".379",".501",".378","132","4.6","40","100","84","1003864"
"2016","Ryan Braun","Brewers","135","564","30","80","16","8.2 %","17.4 %",".233",".326",".305",".365",".538",".378","134","3.3","32","46","98","3410"
"1993","Mark Grace","Cubs","155","676","14","86","8","10.5 %","4.7 %",".150",".321",".325",".393",".475",".378","129","4.9","29","71","32","56"
"1980","Cesar Cedeno","Astros","137","569","10","71","48","11.6 %","12.7 %",".156",".344",".309",".389",".465",".378","146","4.8","29","66","72","1002100"
"1998","Jason Giambi","Athletics","153","657","27","92","2","12.3 %","15.5 %",".194",".314",".295",".384",".489",".378","127","2.6","27","81","102","818"
"2008","Magglio Ordonez","Tigers","146","623","21","72","1","8.5 %","12.2 %",".176",".334",".317",".376",".494",".378","130","1.6","34","53","76","248"
"2008","Jason Giambi","Yankees","145","565","32","68","2","13.5 %","19.6 %",".255",".250",".247",".373",".502",".378","131","2.4","37","76","111","818"
"2004","Carlos Delgado","Blue Jays","128","551","32","74","0","12.5 %","20.9 %",".266",".283",".269",".372",".535",".378","126","2.4","32","69","115","1297"
"2009","Jayson Werth","Phillies","159","676","36","98","20","13.5 %","23.1 %",".238",".304",".268",".373",".506",".378","130","4.7","30","91","156","1327"
"1973","Rick Monday","Cubs","149","651","26","93","5","14.1 %","19.0 %",".202",".301",".267",".372",".469",".378","128","2.2","27","92","124","1009051"
"1982","Sixto Lezcano","Padres","138","559","16","73","2","14.0 %","12.3 %",".183",".306",".289",".388",".472",".378","145","5.3","28","78","69","1007593"
"2006","Ray Durham","Giants","137","555","26","79","7","9.2 %","11.0 %",".245",".291",".293",".360",".538",".378","126","3.6","34","51","61","230"
"2001","Trot Nixon","Red Sox","148","633","27","100","7","12.5 %","17.9 %",".224",".307",".280",".376",".505",".378","131","3.5","27","79","113","204"
"2012","Chase Headley","Padres","161","699","31","95","17","12.3 %","22.5 %",".212",".337",".286",".376",".498",".378","145","7.2","28","86","157","4720"
"1982","Joe Morgan","Giants","134","554","14","68","24","15.3 %","10.8 %",".149",".306",".289",".400",".438",".378","143","5.2","38","85","60","1009179"
"1978","Dave Winfield","Padres","158","649","24","88","21","8.5 %","12.5 %",".191",".322",".308",".367",".499",".378","144","4.3","26","55","81","1014127"
"1985","Kirk Gibson","Tigers","154","670","29","96","30","10.6 %","20.4 %",".231",".325",".287",".364",".518",".378","137","5.3","28","71","137","1004669"
"1998","Matt Lawton","Twins","152","662","21","91","16","13.0 %","9.7 %",".199",".282",".278",".387",".478",".377","122","3.1","26","86","64","390"
"2008","Brian Giles","Padres","147","653","12","81","2","13.3 %","8.0 %",".150",".318",".306",".398",".456",".377","136","4.1","37","87","52","990"
"2011","Hunter Pence","- - -","154","668","22","84","8","8.4 %","18.6 %",".188",".361",".314",".370",".502",".377","140","4.3","28","56","124","8252"
"2000","Johnny Damon","Royals","159","741","16","136","46","8.8 %","8.1 %",".168",".335",".327",".382",".495",".377","115","4.5","26","65","60","185"
"1999","Chuck Knoblauch","Yankees","150","715","18","120","28","11.6 %","8.0 %",".163",".296",".292",".393",".454",".377","124","3.3","30","83","57","609"
"2008","Dustin Pedroia","Red Sox","157","726","17","118","20","6.9 %","7.2 %",".167",".331",".326",".376",".493",".377","127","6.3","24","50","52","8370"
"2008","Jermaine Dye","White Sox","154","645","34","96","3","6.8 %","16.1 %",".249",".302",".292",".344",".541",".377","127","1.4","34","44","104","911"
"2006","Robinson Cano","Yankees","122","508","15","62","5","3.5 %","10.6 %",".183",".359",".342",".365",".525",".377","128","2.4","23","18","54","3269"
"2009","Evan Longoria","Rays","157","671","33","100","9","10.7 %","20.9 %",".245",".313",".281",".364",".526",".377","132","7.1","23","72","140","9368"
"1982","Brian Downing","Angels","158","725","28","109","2","11.9 %","8.0 %",".201",".270",".281",".368",".482",".377","134","5.4","31","86","58","1003451"
"2002","Jose Vidro","Expos","152","681","19","103","2","8.8 %","10.3 %",".175",".330",".315",".378",".490",".377","127","4.3","27","60","70","802"
"2007","Jeff Kent","Dodgers","136","562","20","78","1","10.1 %","10.9 %",".198",".308",".302",".375",".500",".377","127","2.8","39","57","61","1119"
"2009","Ryan Zimmerman","Nationals","157","694","33","110","2","10.4 %","17.1 %",".233",".310",".292",".364",".525",".377","130","6.6","24","72","119","4220"
"2017","Jose Abreu","White Sox","156","675","33","95","3","5.2 %","17.6 %",".248",".330",".304",".354",".552",".377","138","4.2","30","35","119","15676"
"1971","Reggie Smith","Red Sox","159","692","30","85","11","9.1 %","11.8 %",".206",".284",".283",".352",".489",".377","132","5.5","26","63","82","1012201"
"2010","Jason Heyward","Braves","142","623","18","83","11","14.6 %","20.5 %",".179",".335",".277",".393",".456",".377","134","4.7","20","91","128","4940"
"1992","Paul Molitor","Brewers","158","701","12","89","31","10.4 %","9.4 %",".141",".338",".320",".389",".461",".377","137","4.3","35","73","66","1009040"
"1996","Robin Ventura","White Sox","158","674","34","96","1","11.6 %","12.0 %",".234",".280",".287",".368",".520",".377","122","5.0","28","78","81","854"
"1998","Jeff Cirillo","Brewers","156","694","14","97","10","11.4 %","12.7 %",".124",".357",".321",".402",".445",".377","128","6.5","28","79","88","1073"
"2006","Reed Johnson","Blue Jays","134","517","12","86","8","6.4 %","15.7 %",".161",".366",".319",".390",".479",".377","126","4.4","29","33","81","1702"
"1975","Bobby Murcer","Giants","147","632","11","80","9","14.4 %","7.1 %",".133",".303",".298",".396",".432",".377","128","1.4","29","91","45","1009338"
"1987","Andre Dawson","Cubs","153","662","49","90","11","4.8 %","15.6 %",".282",".274",".287",".328",".568",".377","124","3.5","32","32","103","1003091"
"1988","Kirk Gibson","Dodgers","150","632","25","106","31","11.6 %","19.0 %",".194",".327",".290",".377",".483",".377","150","6.2","31","73","120","1004669"
"2010","Joe Mauer","Twins","137","584","9","88","1","11.1 %","9.1 %",".141",".348",".327",".402",".469",".377","135","5.0","27","65","53","1857"
"2002","Andruw Jones","Braves","154","659","35","91","8","12.6 %","20.5 %",".248",".285",".264",".366",".513",".377","130","6.3","25","83","135","96"
"1988","Ellis Burks","Red Sox","144","615","18","93","25","10.1 %","14.5 %",".187",".321",".294",".367",".481",".377","134","5.2","23","62","89","372"
"2012","Billy Butler","Royals","161","679","29","72","2","8.0 %","16.3 %",".197",".341",".313",".373",".510",".377","139","2.6","26","54","111","7399"
"1987","Wally Joyner","Angels","149","653","34","100","8","11.0 %","9.8 %",".243",".267",".285",".366",".528",".377","132","4.0","25","72","64","1006637"
"1997","John Valentin","Red Sox","143","644","18","95","7","9.0 %","10.2 %",".193",".319",".306",".372",".499",".377","124","4.3","30","58","66","1375"
"1998","Tony Clark","Tigers","157","673","34","84","3","9.4 %","19.0 %",".231",".317",".291",".358",".522",".377","124","3.3","26","63","128","182"
"2014","Jayson Werth","Nationals","147","629","16","85","9","13.2 %","18.0 %",".163",".343",".292",".394",".455",".377","141","5.3","35","83","113","1327"
"2009","Carlos Pena","Rays","135","570","39","91","3","15.3 %","28.6 %",".310",".250",".227",".356",".537",".377","132","2.8","31","87","163","934"
"1992","Larry Walker","Expos","143","583","23","85","18","7.0 %","16.6 %",".205",".327",".301",".353",".506",".377","142","5.3","25","41","97","455"
"2006","Alfonso Soriano","Nationals","159","728","46","119","41","9.2 %","22.0 %",".283",".300",".277",".351",".560",".377","129","5.4","30","67","160","847"
"1996","Steve Finley","Padres","161","721","30","126","22","7.8 %","12.1 %",".234",".304",".298",".354",".531",".377","136","5.4","31","56","87","54"
"1984","Gary Carter","Expos","159","669","27","75","2","9.6 %","8.5 %",".193",".287",".294",".366",".487",".377","142","7.1","30","64","57","1002015"
"1975","Ron Cey","Dodgers","158","662","25","72","5","11.8 %","11.2 %",".191",".284",".283",".372",".473",".377","136","6.6","27","78","74","1002108"
"2003","Jose Vidro","Expos","144","592","15","77","3","11.7 %","8.4 %",".159",".318",".310",".397",".470",".377","124","3.2","28","69","50","802"
"2006","Carlos Delgado","Mets","144","618","38","89","0","12.0 %","19.4 %",".282",".269",".265",".361",".548",".377","128","2.8","34","74","120","1297"
"1991","Darryl Strawberry","Dodgers","139","588","28","86","10","12.8 %","21.3 %",".226",".297",".265",".361",".491",".377","143","4.2","29","75","125","1012606"
"1996","Vinny Castilla","Rockies","160","673","40","97","7","5.2 %","13.1 %",".245",".299",".304",".343",".548",".377","106","3.3","28","35","88","84"
"1980","Rickey Henderson","Athletics","158","722","9","111","100","16.2 %","7.5 %",".096",".320",".303",".420",".399",".377","136","7.8","21","117","54","194"
"1980","Joe Charboneau","Indians","131","512","23","76","2","9.6 %","13.7 %",".199",".295",".289",".358",".488",".377","132","2.4","25","49","70","1002156"
"1998","Jim Edmonds","Angels","154","659","25","115","7","8.6 %","17.3 %",".199",".345",".307",".368",".506",".376","124","4.0","28","57","114","1153"
"1980","Dale Murphy","Braves","156","634","33","98","9","9.3 %","21.0 %",".228",".314",".281",".349",".510",".376","132","5.7","24","59","133","1009355"
"1982","Jack Clark","Giants","157","659","27","90","6","13.7 %","13.8 %",".208",".282",".274",".372",".481",".376","142","3.9","26","90","91","1002288"
"1968","Hank Aaron","Braves","160","676","29","84","28","9.5 %","9.2 %",".211",".279",".287",".354",".498",".376","151","7.1","34","64","62","1000001"
"2006","Todd Helton","Rockies","145","649","15","94","3","14.0 %","9.9 %",".174",".317",".302",".404",".476",".376","116","1.9","32","91","64","432"
"1986","Von Hayes","Phillies","158","690","19","107","24","10.7 %","11.2 %",".175",".322",".305",".379",".480",".376","134","4.8","27","74","77","1005531"
"2009","Nick Johnson","- - -","133","574","8","71","2","17.2 %","14.6 %",".114",".338",".291",".426",".405",".376","129","1.6","30","99","84","828"
"2011","Jose Reyes","Mets","126","586","7","101","39","7.3 %","7.0 %",".156",".353",".337",".384",".493",".376","142","5.9","28","43","41","1736"
"2008","Ryan Braun","Brewers","151","663","37","92","14","6.3 %","19.5 %",".268",".305",".285",".335",".553",".376","129","4.6","24","42","129","3410"
"1986","Dwight Evans","Red Sox","152","640","26","86","3","15.2 %","18.3 %",".217",".283",".259",".376",".476",".376","129","4.5","34","97","117","1003865"
"1975","Jose Cardenal","Cubs","154","666","9","85","34","11.6 %","7.5 %",".106",".331",".317",".397",".423",".376","125","3.1","31","77","50","1001937"
"2008","Miguel Cabrera","Tigers","160","684","37","85","1","8.2 %","18.4 %",".245",".310",".292",".349",".537",".376","129","2.6","25","56","126","1744"
"1991","Jack Clark","Red Sox","140","587","28","75","0","16.4 %","22.7 %",".216",".283",".249",".374",".466",".376","129","2.4","35","96","133","1002288"
"1974","Al Oliver","Pirates","147","661","11","96","10","5.0 %","8.8 %",".154",".338",".321",".358",".475",".376","135","5.1","27","33","58","1009773"
"1990","Lonnie Smith","Braves","135","537","9","72","10","10.8 %","12.8 %",".155",".338",".305",".384",".459",".376","129","4.0","34","58","69","1012176"
"2009","Nick Swisher","Yankees","150","607","29","84","0","16.0 %","20.8 %",".249",".272",".249",".371",".498",".376","125","2.9","28","97","126","4599"
"1990","Edgar Martinez","Mariners","144","572","11","71","1","12.9 %","10.8 %",".131",".326",".302",".397",".433",".376","134","5.5","27","74","62","1086"
"1983","Dave Winfield","Yankees","152","664","32","99","15","8.7 %","11.6 %",".231",".277",".283",".345",".513",".376","137","3.0","31","58","77","1014127"
"2004","Miguel Tejada","Orioles","162","725","34","107","4","6.6 %","10.1 %",".224",".302",".311",".360",".534",".376","129","6.0","30","48","73","941"
"2017","Eric Hosmer","Royals","162","671","25","98","6","9.8 %","15.5 %",".179",".351",".318",".385",".498",".376","135","4.1","27","66","104","3516"
"1991","Ruben Sierra","Rangers","161","726","25","110","16","7.7 %","12.5 %",".195",".321",".307",".357",".502",".376","135","4.8","25","56","91","1099"
"2007","Manny Ramirez","Red Sox","133","569","20","84","0","12.5 %","16.2 %",".197",".325",".296",".388",".493",".376","126","1.2","35","71","92","210"
"2000","Brad Fullmer","Blue Jays","133","524","32","76","3","5.7 %","13.0 %",".263",".284",".295",".340",".558",".376","118","1.6","25","30","68","13"
"2011","Corey Hart","Brewers","130","551","26","80","7","9.3 %","20.7 %",".226",".323",".285",".356",".510",".376","137","3.8","29","51","114","1945"
"1975","Manny Sanguillen","Pirates","133","537","9","60","6","8.9 %","5.8 %",".123",".336",".328",".391",".451",".376","134","4.7","31","48","31","1011434"
"1986","Gary Gaetti","Twins","157","661","34","91","14","7.9 %","16.3 %",".232",".298",".287",".347",".518",".376","128","5.4","27","52","108","1004422"
"1989","Julio Franco","Rangers","150","621","13","80","21","10.6 %","11.1 %",".146",".339",".316",".386",".462",".376","135","5.5","30","66","69","87"
"1997","Tony Clark","Tigers","159","681","32","105","1","13.7 %","21.1 %",".224",".313",".276",".376",".500",".376","124","3.0","25","93","144","182"
"1969","Tony Oliva","Twins","153","692","24","97","10","6.5 %","9.5 %",".187",".313",".309",".355",".496",".376","131","4.7","30","45","66","1009772"
"2002","Junior Spivey","Diamondbacks","143","626","16","103","11","10.4 %","16.0 %",".175",".341",".301",".389",".476",".376","124","4.3","27","65","100","74"
"2008","Grady Sizemore","Indians","157","745","33","101","38","13.2 %","17.4 %",".233",".290",".268",".374",".502",".376","131","7.4","25","98","130","2197"
"1976","Garry Maddox","Phillies","146","586","6","75","29","7.2 %","10.1 %",".126",".356",".330",".377",".456",".376","132","6.3","26","42","59","1007948"
"1990","Kent Hrbek","Twins","143","578","22","61","5","11.9 %","7.8 %",".187",".275",".287",".377",".474",".376","132","2.6","30","69","45","1006117"
"2017","George Springer","Astros","140","629","34","112","5","10.2 %","17.6 %",".239",".297",".283",".367",".522",".376","140","4.6","27","64","111","12856"
"1988","Barry Bonds","Pirates","144","614","24","97","17","11.7 %","13.4 %",".208",".295",".283",".368",".491",".376","146","5.4","23","72","82","1109"
"1999","Jeff Kent","Giants","138","585","23","86","13","10.4 %","19.1 %",".221",".326",".290",".366",".511",".376","123","3.6","31","61","112","1119"
"1991","Howard Johnson","Mets","156","658","38","108","30","11.9 %","18.2 %",".277",".257",".259",".342",".535",".376","140","3.9","30","78","120","1006462"
"2012","David Wright","Mets","156","670","21","91","15","12.1 %","16.7 %",".186",".347",".306",".391",".492",".376","141","6.6","29","81","112","3787"
"1986","Brian Downing","Angels","152","631","20","90","4","14.3 %","13.3 %",".185",".281",".267",".389",".452",".376","133","3.9","35","90","84","1003451"
"1993","Danny Tartabull","Yankees","138","611","31","87","0","15.1 %","25.5 %",".253",".294",".250",".363",".503",".376","131","2.9","30","92","156","1012829"
"1987","Matt Nokes","Tigers","135","508","32","69","2","6.9 %","13.8 %",".247",".279",".289",".345",".536",".376","131","3.4","23","35","70","1009615"
"2008","Carlos Pena","Rays","139","607","31","76","1","15.8 %","27.3 %",".247",".298",".247",".377",".494",".376","132","3.8","30","96","166","934"
"1998","Frank Thomas","White Sox","160","712","29","109","7","15.4 %","13.1 %",".215",".266",".265",".381",".480",".376","126","3.0","30","110","93","255"
"1971","Bob Robertson","Pirates","131","536","26","65","1","11.2 %","18.8 %",".213",".293",".271",".356",".484",".376","140","3.8","24","60","101","1011024"
"1985","Mike Young","Orioles","139","504","28","72","1","9.5 %","20.6 %",".240",".298",".273",".348",".513",".376","134","3.3","25","48","104","1014386"
"2012","Joe Mauer","Twins","147","641","10","81","8","14.0 %","13.7 %",".127",".364",".319",".416",".446",".376","138","4.5","29","90","88","1857"
"2010","Evan Longoria","Rays","151","661","22","96","15","10.9 %","18.8 %",".213",".336",".294",".372",".507",".376","139","7.5","24","72","124","9368"
"1993","David Justice","Braves","157","670","40","90","3","11.6 %","13.4 %",".244",".257",".270",".357",".515",".376","126","5.1","27","78","90","923"
"1971","Boog Powell","Orioles","128","509","22","59","1","16.1 %","12.6 %",".203",".252",".256",".379",".459",".375","137","3.8","29","82","64","1010482"
"1978","Rico Carty","- - -","145","593","31","70","1","9.6 %","9.6 %",".220",".264",".282",".348",".502",".375","134","2.8","38","57","57","1002025"
"2012","Aaron Hill","Diamondbacks","156","668","26","93","14","7.8 %","12.9 %",".220",".317",".302",".360",".522",".375","133","5.1","30","52","86","6104"
"2012","Yadier Molina","Cardinals","138","563","22","65","12","8.0 %","9.8 %",".186",".316",".315",".373",".501",".375","138","6.1","29","45","55","7007"
"1979","Toby Harrah","Indians","149","635","20","99","20","14.0 %","9.4 %",".165",".282",".279",".389",".444",".375","129","2.6","30","89","60","1005384"
"1991","Hal Morris","Reds","136","537","14","72","10","8.6 %","11.4 %",".161",".337",".318",".374",".479",".375","136","4.0","26","46","61","1009209"
"1991","Cecil Fielder","Tigers","162","712","44","102","0","11.0 %","21.2 %",".252",".275",".261",".347",".513",".375","132","3.8","27","78","151","1004026"
"2008","Dan Uggla","Marlins","146","619","32","97","5","12.4 %","27.6 %",".254",".320",".260",".360",".514",".375","126","4.2","28","77","171","3442"
"1978","Carlton Fisk","Red Sox","157","658","20","94","7","10.8 %","12.6 %",".191",".300",".284",".366",".475",".375","128","5.7","30","71","83","1004101"
"1983","Kent Hrbek","Twins","141","582","16","75","4","9.8 %","12.2 %",".192",".315",".297",".366",".489",".375","128","2.5","23","57","71","1006117"
"2004","Jason Varitek","Red Sox","137","536","18","67","10","11.6 %","23.5 %",".186",".372",".296",".390",".482",".375","125","4.1","32","62","126","217"
"2017","Avisail Garcia","White Sox","136","561","18","75","5","5.9 %","19.8 %",".176",".392",".330",".380",".506",".375","137","4.2","26","33","111","5760"
"2009","Torii Hunter","Angels","119","506","22","74","18","9.3 %","18.2 %",".208",".330",".299",".366",".508",".375","128","3.8","33","47","92","731"
"1973","Gene Tenace","Athletics","160","636","24","83","2","15.9 %","14.8 %",".184",".271",".259",".387",".443",".375","141","4.5","26","101","94","1012911"
"1992","Mickey Tettleton","Tigers","157","654","32","82","0","18.7 %","20.9 %",".230",".257",".238",".379",".469",".375","133","5.0","31","122","137","1012939"
"1972","Reggie Smith","Red Sox","131","543","21","75","15","12.5 %","11.6 %",".206",".271",".270",".365",".475",".375","142","3.4","27","68","63","1012201"
"2009","Victor Martinez","- - -","155","672","23","88","1","11.2 %","11.0 %",".177",".312",".303",".381",".480",".375","126","3.8","30","75","74","393"
"1999","Kenny Lofton","Indians","120","561","7","110","25","14.1 %","15.0 %",".131",".351",".301",".405",".432",".375","118","4.8","32","79","84","246"
"2002","Derrek Lee","Marlins","162","688","27","95","19","14.2 %","23.8 %",".224",".330",".270",".378",".494",".375","132","3.5","26","98","164","525"
"1978","Jason Thompson","Tigers","153","669","26","79","0","11.1 %","14.3 %",".185",".303",".287",".364",".472",".375","133","5.1","23","74","96","1013014"
"2012","Dexter Fowler","Rockies","143","530","13","72","12","12.8 %","24.2 %",".174",".390",".300",".389",".474",".375","120","3.0","26","68","128","4062"
"2004","Ichiro Suzuki","Mariners","161","762","8","101","36","6.4 %","8.3 %",".082",".399",".372",".414",".455",".375","131","7.1","30","49","63","1101"
"1997","Jim Edmonds","Angels","133","571","26","82","5","10.5 %","14.0 %",".209",".299",".291",".368",".500",".375","125","4.0","27","60","80","1153"
"2016","Matt Carpenter","Cardinals","129","566","21","81","0","14.3 %","19.1 %",".235",".307",".271",".380",".505",".375","136","3.3","30","81","108","8090"
"1978","Steve Garvey","Dodgers","162","689","21","89","10","5.8 %","10.2 %",".183",".326",".316",".353",".499",".375","138","4.8","29","40","70","1004557"
"2011","Dustin Pedroia","Red Sox","159","731","21","102","26","11.8 %","11.6 %",".167",".325",".307",".387",".474",".375","133","7.8","27","86","85","8370"
"1968","Bill Freehan","Tigers","155","635","25","73","0","10.2 %","10.1 %",".191",".258",".263",".366",".454",".375","149","7.0","26","65","64","1004315"
"1982","Bob Horner","Braves","140","572","32","85","3","11.5 %","13.1 %",".240",".248",".261",".350",".501",".375","135","3.0","24","66","75","1006026"
"1986","Pete O'Brien","Rangers","156","641","23","86","4","13.6 %","10.3 %",".178",".295",".290",".385",".468",".375","129","4.3","28","87","66","1009700"
"2009","Josh Willingham","Nationals","133","502","24","70","4","12.2 %","20.7 %",".237",".289",".260",".367",".496",".375","129","2.5","30","61","104","2103"
"1995","Ray Lankford","Cardinals","132","553","25","81","24","11.4 %","19.9 %",".236",".309",".277",".360",".513",".375","128","4.3","28","63","110","1044"
"1978","Reggie Jackson","Yankees","139","581","27","82","14","10.0 %","22.9 %",".204",".319",".274",".356",".477",".375","138","3.3","32","58","133","1006308"
"2003","Edgar Renteria","Cardinals","157","663","13","96","34","9.8 %","8.1 %",".150",".343",".330",".394",".480",".375","128","6.3","26","65","54","1178"
"2008","Joey Votto","Reds","151","589","24","69","7","10.0 %","17.3 %",".209",".328",".297",".368",".506",".375","124","3.6","24","59","102","4314"
"2006","Andruw Jones","Braves","156","669","41","107","4","12.3 %","19.0 %",".269",".264",".262",".363",".531",".375","124","6.0","29","82","127","96"
"2006","Carlos Lee","- - -","161","695","37","102","19","8.3 %","9.4 %",".240",".281",".300",".355",".540",".375","123","1.9","30","58","65","243"
"1979","Mike Hargrove","- - -","152","564","10","75","2","15.6 %","9.8 %",".138",".307",".289",".404",".428",".375","131","3.1","29","88","55","1005361"
"1987","George Brett","Royals","115","508","22","71","6","14.2 %","9.3 %",".206",".279",".290",".388",".496",".375","129","3.2","34","72","47","1001400"
"1999","Randy Velarde","- - -","156","711","16","105","24","9.8 %","13.8 %",".138",".356",".317",".390",".455",".375","120","6.1","36","70","98","942"
"1998","Jose Offerman","Royals","158","709","7","102","45","12.6 %","13.5 %",".124",".361",".315",".403",".438",".375","121","4.6","29","89","96","205"
