"Season","Name","Team","G","PA","HR","R","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","WAR","Age","BB","SO","playerid"
"1992","Edgar Martinez","Mariners","135","592","18","100","14","9.1 %","10.3 %",".201",".359",".343",".404",".544",".421","165","6.0","29","54","61","1086"
"2004","Melvin Mora","Orioles","140","636","27","111","11","10.4 %","14.9 %",".222",".371",".340",".419",".562",".421","159","6.2","32","66","95","157"
"2003","Manny Ramirez","Red Sox","154","679","37","117","3","14.3 %","13.8 %",".262",".334",".325",".427",".587",".421","158","5.8","31","97","94","210"
"2006","Jim Thome","White Sox","143","610","42","108","0","17.5 %","24.1 %",".310",".321",".288",".416",".598",".421","153","4.8","35","107","147","409"
"1997","Ray Lankford","Cardinals","133","566","31","94","21","16.8 %","22.1 %",".290",".338",".295",".411",".585",".421","156","5.6","30","95","125","1044"
"1998","Mo Vaughn","Red Sox","154","681","40","107","0","9.0 %","21.1 %",".255",".386",".337",".402",".591",".421","151","6.3","30","61","144","899"
"1969","Jimmy Wynn","Astros","149","653","33","113","23","22.7 %","21.7 %",".238",".308",".269",".436",".507",".421","167","6.7","27","148","142","1014313"
"2002","Todd Helton","Rockies","156","668","30","107","5","14.8 %","13.6 %",".248",".344",".329",".429",".577",".421","141","5.5","28","99","91","432"
"2000","Jim Edmonds","Cardinals","152","643","42","129","10","16.0 %","26.0 %",".288",".349",".295",".411",".583",".421","149","6.5","30","103","167","1153"
"1998","Jeff Bagwell","Astros","147","661","34","124","19","16.5 %","13.6 %",".254",".309",".304",".424",".557",".421","162","6.7","30","109","90","547"
"2013","Chris Davis","Orioles","160","673","53","103","4","10.7 %","29.6 %",".348",".336",".286",".370",".634",".421","168","7.0","27","72","199","9272"
"1989","Lonnie Smith","Braves","134","577","21","89","25","13.2 %","16.5 %",".218",".351",".315",".415",".533",".420","166","8.1","33","76","95","1012176"
"1992","Mark McGwire","Athletics","139","571","42","87","0","15.8 %","18.4 %",".317",".252",".268",".385",".585",".420","171","6.3","28","90","105","1008559"
"1987","Dwight Evans","Red Sox","154","657","34","109","4","16.1 %","14.9 %",".264",".315",".305",".417",".569",".420","156","4.9","35","106","98","1003865"
"1990","Barry Bonds","Pirates","151","621","33","104","52","15.0 %","13.4 %",".264",".301",".301",".406",".565",".420","165","9.9","25","93","83","1109"
"1977","Greg Luzinski","Phillies","149","645","39","99","3","12.4 %","21.7 %",".285",".345",".309",".394",".594",".419","157","4.9","26","80","140","1007855"
